epoch,step,train/loss,valid/loss
30,123,0.5378665924072266,
30,123,,0.5984987020492554
31,125,0.5829460620880127,
31,127,0.7008686661720276,
31,127,,0.6993985176086426
32,129,0.5955857038497925,
32,131,0.7874860167503357,
32,131,,0.6511611342430115
33,133,0.57468181848526,
33,135,0.6015774011611938,
33,135,,0.5519573092460632
34,137,0.7487835884094238,
34,139,1.017322063446045,
34,139,,0.5608994960784912
35,141,0.6824514269828796,
35,143,0.9595888257026672,
35,143,,0.6498806476593018
36,145,0.5781431198120117,
36,147,0.7367768883705139,
36,147,,0.5434988141059875
37,149,0.5501357913017273,
37,151,0.657455325126648,
37,151,,0.7415746450424194
38,153,0.5986117124557495,
38,155,0.588991105556488,
38,155,,0.6296390891075134
39,157,0.5646185278892517,
39,159,0.5379040241241455,
39,159,,0.5046301484107971
40,161,0.5063691735267639,
40,163,0.6169973611831665,
40,163,,0.6156333684921265
41,165,0.539970874786377,
41,167,0.6011786460876465,
41,167,,0.5430366396903992
42,169,0.5090583562850952,
42,171,0.4944990277290344,
42,171,,0.6032825112342834
43,173,0.6588793396949768,
43,175,0.4526110887527466,
43,175,,0.9496812224388123
44,177,1.330371379852295,
44,179,0.6749561429023743,
44,179,,0.5393666625022888
45,181,0.676072359085083,
45,183,0.8375384211540222,
45,183,,0.7137224078178406
46,185,0.601087212562561,
46,187,0.6887159943580627,
46,187,,0.677989661693573
47,189,0.606273353099823,
47,191,0.6957902908325195,
47,191,,0.6020807027816772
48,193,0.5272341370582581,
48,195,0.713887095451355,
48,195,,0.692018985748291
49,197,0.5777742266654968,
49,199,0.6305615305900574,
49,199,,0.5993073582649231
50,201,0.5092298984527588,
50,203,0.7043527960777283,
50,203,,0.6506102681159973
51,205,0.5489057302474976,
51,207,0.6493762135505676,
51,207,,0.6119904518127441
52,209,0.5307861566543579,
52,211,0.5180641412734985,
52,211,,0.6016887426376343
53,213,0.5035874843597412,
53,215,0.7760688662528992,
53,215,,0.6209204792976379
54,217,0.502762496471405,
54,219,0.8658247590065002,
54,219,,0.575773298740387
55,221,0.473971962928772,
55,223,0.6086561679840088,
55,223,,0.6461918354034424
56,225,0.5148527026176453,
56,227,0.6919909715652466,
56,227,,0.5304754376411438
57,229,0.47850847244262695,
57,231,0.6636195182800293,
57,231,,0.6074564456939697
58,233,0.4820878505706787,
58,235,0.6872198581695557,
58,235,,0.5767328143119812
59,237,0.4528326094150543,
59,239,0.6049453020095825,
59,239,,0.56783527135849
60,241,0.47007137537002563,
60,243,0.5940011143684387,
60,243,,0.5860692262649536
61,245,0.4624611437320709,
61,247,0.569194495677948,
61,247,,0.550508439540863
62,249,0.4380674958229065,
62,251,0.5961334109306335,
62,251,,0.5848526358604431
63,253,0.46411818265914917,
63,255,0.6314331889152527,
63,255,,0.5486725568771362
64,257,0.459608793258667,
64,259,0.5030472874641418,
64,259,,0.5529926419258118
65,261,0.46617892384529114,
65,263,0.6189049482345581,
65,263,,0.5394752621650696
66,265,0.4460796117782593,
66,267,0.6849730014801025,
66,267,,0.5493534207344055
67,269,0.4526439905166626,
67,271,0.7066482305526733,
67,271,,0.556719183921814
68,273,0.45324206352233887,
68,275,0.5862690806388855,
68,275,,0.5057762861251831
69,277,0.4244990348815918,
69,279,0.6385290026664734,
69,279,,0.5431439280509949
70,281,0.4541644752025604,
70,283,0.5266669988632202,
70,283,,0.5700691938400269
71,285,0.41981181502342224,
71,287,0.593340277671814,
71,287,,0.5122860074043274
72,289,0.4190160036087036,
72,291,0.6013040542602539,
72,291,,0.5376197695732117
73,293,0.4214872717857361,
73,295,0.5867612361907959,
73,295,,0.5061171650886536
74,297,0.41621771454811096,
74,299,0.6434125304222107,
74,299,,0.5387847423553467
75,301,0.44118213653564453,
75,303,0.628855288028717,
75,303,,0.5240154266357422
76,305,0.42644640803337097,
