valid/loss,step,epoch,train/loss
0.23872479796409607,771,192,
0.23861953616142273,775,193,
0.23855364322662354,779,194,
0.23852083086967468,783,195,
0.23853431642055511,787,196,
0.23854301869869232,791,197,
0.2385648787021637,795,198,
,799,199,0.24213974177837372
0.2385997325181961,799,199,
0.2386321872472763,803,200,
0.23867537081241608,807,201,
0.23870745301246643,811,202,
0.2387225478887558,815,203,
0.23876354098320007,819,204,
0.23879103362560272,823,205,
0.23877865076065063,827,206,
0.2387123554944992,831,207,
0.23868736624717712,835,208,
0.2386549413204193,839,209,
0.23864901065826416,843,210,
0.23866575956344604,847,211,
0.23868921399116516,851,212,
0.23873358964920044,855,213,
0.2387579381465912,859,214,
0.23877030611038208,863,215,
0.2387579083442688,867,216,
0.23879900574684143,871,217,
0.23881396651268005,875,218,
0.23883749544620514,879,219,
