epoch,step,train/loss,valid/loss
88,355,,0.7330331206321716
89,357,0.6318677067756653,
89,359,0.7999554872512817,
89,359,,0.7567247748374939
90,361,0.6918853521347046,
90,363,0.670891284942627,
90,363,,0.760623037815094
91,365,0.7462100982666016,
91,367,0.7027775049209595,
91,367,,0.6779100298881531
92,369,0.7173247337341309,
92,371,0.6533843278884888,
92,371,,0.6480015516281128
93,373,0.6674638390541077,
93,375,0.6203868985176086,
93,375,,0.7152667045593262
94,377,0.639018714427948,
94,379,0.7388086318969727,
94,379,,0.7548965215682983
95,381,0.7103400230407715,
95,383,0.6551103591918945,
95,383,,0.7461117506027222
96,385,0.744252622127533,
96,387,0.6789642572402954,
96,387,,0.6761618852615356
97,389,0.748794674873352,
97,391,0.741496741771698,
97,391,,0.6466003656387329
98,393,0.672062873840332,
98,395,0.6390466690063477,
98,395,,0.7021385431289673
99,397,0.6347518563270569,
99,399,0.7371249198913574,
99,399,,0.7540960907936096
100,401,0.689393937587738,
100,403,0.7354967594146729,
100,403,,0.7339988946914673
101,405,0.7311796545982361,
101,407,0.5920263528823853,
101,407,,0.6352435946464539
102,409,0.6681107878684998,
102,411,0.6555549502372742,
102,411,,0.6341428756713867
103,413,0.7081092596054077,
103,415,0.6539978384971619,
103,415,,0.7132025361061096
104,417,0.6334114074707031,
104,419,0.7440913915634155,
104,419,,0.8129804730415344
105,421,0.7296862602233887,
105,423,0.6240087151527405,
105,423,,0.69028639793396
106,425,0.6974194645881653,
106,427,0.5925363302230835,
106,427,,0.6520510911941528
107,429,0.6467202305793762,
107,431,0.6852269768714905,
107,431,,0.7057326436042786
108,433,0.6674032807350159,
108,435,0.6410969495773315,
108,435,,0.6925820112228394
109,437,0.6882253885269165,
109,439,0.5235127210617065,
109,439,,0.6589860320091248
110,441,0.6442334055900574,
110,443,0.7120553255081177,
110,443,,0.6902587413787842
111,445,0.6624259948730469,
111,447,0.7298969030380249,
111,447,,0.679764986038208
112,449,0.6211661696434021,
112,451,0.6319193243980408,
112,451,,0.668555498123169
113,453,0.6474443674087524,
113,455,0.6589848399162292,
113,455,,0.6904740333557129
114,457,0.6726504564285278,
114,459,0.5989128947257996,
114,459,,0.6632524728775024
115,461,0.6549075841903687,
115,463,0.590648353099823,
115,463,,0.6804462671279907
116,465,0.6387942433357239,
116,467,0.5691179633140564,
116,467,,0.6684504747390747
117,469,0.6519143581390381,
