epoch,step,valid/loss,train/loss
111,447,0.22061054408550262,
112,451,0.22169731557369232,
113,455,0.2208130955696106,
114,459,0.22029004991054535,
115,463,0.22055067121982574,
116,467,0.22039544582366943,
117,471,0.22055359184741974,
118,475,0.22107037901878357,
119,479,0.2203129380941391,
120,483,0.2198997437953949,
121,487,0.22058239579200745,
122,491,0.21960361301898956,
123,495,0.2196202129125595,
124,499,,0.218136265873909
124,499,0.22062835097312927,
125,503,0.21943213045597076,
126,507,0.21941021084785461,
127,511,0.21956567466259003,
128,515,0.21916328370571136,
129,519,0.21921643614768982,
130,523,0.21914692223072052,
131,527,0.21919947862625122,
132,531,0.2199389636516571,
133,535,0.21985110640525818,
134,539,0.2193763554096222,
135,543,0.21876183152198792,
136,547,0.21889637410640717,
137,551,0.2184191197156906,
138,555,0.2188868671655655,
139,559,0.218275249004364,
140,563,0.21871457993984222,
141,567,0.21873001754283905,
142,571,0.2182781994342804,
143,575,0.2182043492794037,
144,579,0.21812443435192108,
145,583,0.21825073659420013,
146,587,0.2185710370540619,
147,591,0.21963515877723694,
148,595,0.21788406372070312,
149,599,,0.2166581153869629
149,599,0.21973857283592224,
150,603,0.22205299139022827,
151,607,0.22053605318069458,
152,611,0.2207907736301422,
153,615,0.2191098928451538,
154,619,0.2191820591688156,
155,623,0.21891993284225464,
156,627,0.2179449200630188,
157,631,0.2181859165430069,
158,635,0.2173425257205963,
159,639,0.21775591373443604,
160,643,0.21806469559669495,
161,647,0.21720288693904877,
162,651,0.2175956517457962,
163,655,0.21685796976089478,
164,659,0.21680690348148346,
165,663,0.21706239879131317,
166,667,0.21661338210105896,
167,671,0.2166019231081009,
168,675,0.21630854904651642,
169,679,0.21702457964420319,
170,683,0.2161283940076828,
171,687,0.21594363451004028,
172,691,0.2159230262041092,
173,695,0.21678277850151062,
174,699,,0.21308264136314392
174,699,0.21574822068214417,
175,703,0.21626664698123932,
176,707,0.2155991494655609,
177,711,0.21579928696155548,
178,715,0.21505765616893768,
179,719,0.2150387167930603,
180,723,0.2153271734714508,
181,727,0.21485820412635803,
182,731,0.21590805053710938,
183,735,0.21478389203548431,
184,739,0.21508920192718506,
185,743,0.21454374492168427,
186,747,0.2143334448337555,
187,751,0.21470218896865845,
188,755,0.21424216032028198,
189,759,0.21405142545700073,
190,763,0.21465787291526794,
191,767,0.2140210121870041,
192,771,0.21378841996192932,
193,775,0.2135024517774582,
194,779,0.2139744907617569,
195,783,0.21387217938899994,
196,787,0.21352343261241913,
197,791,0.21372827887535095,
198,795,0.2133845090866089,
199,799,,0.21220503747463226
199,799,0.21296918392181396,
200,803,0.21275320649147034,
201,807,0.21308378875255585,
202,811,0.2123534381389618,
203,815,0.21306805312633514,
204,819,0.21221251785755157,
205,823,0.21247978508472443,
206,827,0.21216067671775818,
207,831,0.2117902934551239,
208,835,0.21192848682403564,
209,839,0.21176128089427948,
210,843,0.21181970834732056,
211,847,0.21140579879283905,
212,851,0.2113724648952484,
213,855,0.21262586116790771,
214,859,0.21119707822799683,
215,863,0.21178273856639862,
216,867,0.21113312244415283,
217,871,0.21106895804405212,
218,875,0.21105961501598358,
