epoch,valid/loss,step,train/loss
147,0.14345218241214752,591,
148,,594,0.14854711294174194
148,0.1421746164560318,595,
149,,599,0.14761997759342194
149,0.1438402533531189,599,
150,0.14105108380317688,603,
151,,604,0.1459585279226303
151,0.14183999598026276,607,
152,,609,0.14417360723018646
152,0.1403382420539856,611,
153,,614,0.13707080483436584
153,0.1400282233953476,615,
154,,619,0.13153131306171417
154,0.14010478556156158,619,
155,0.13807310163974762,623,
156,,624,0.14095735549926758
156,0.13744880259037018,627,
157,,629,0.1374131292104721
157,0.13556572794914246,631,
158,,634,0.1367211490869522
158,0.13697417080402374,635,
159,,639,0.13453994691371918
159,0.13512369990348816,639,
160,0.13471975922584534,643,
161,,644,0.1360493004322052
161,0.13392867147922516,647,
162,,649,0.13138815760612488
162,0.13183677196502686,651,
163,,654,0.13451874256134033
163,0.13240687549114227,655,
164,,659,0.12887269258499146
164,0.13306096196174622,659,
165,0.1296958327293396,663,
166,,664,0.13446345925331116
166,0.13015033304691315,667,
167,,669,0.12842325866222382
167,0.1275845766067505,671,
168,,674,0.1253911703824997
168,0.12767444550991058,675,
169,,679,0.11587883532047272
169,0.1268037110567093,679,
170,0.1262684166431427,683,
171,,684,0.12631122767925262
171,0.1238720715045929,687,
172,,689,0.12618525326251984
172,0.12343322485685349,691,
173,,694,0.12337614595890045
173,0.1210370808839798,695,
174,,699,0.12612085044384003
174,0.12349243462085724,699,
175,0.11876065284013748,703,
176,,704,0.125407412648201
176,0.12085017561912537,707,
177,,709,0.12325779348611832
177,0.11582060158252716,711,
178,,714,0.1175905168056488
178,0.11671929061412811,715,
179,,719,0.11420571804046631
179,0.11380462348461151,719,
180,0.11476919054985046,723,
181,,724,0.11601881682872772
181,0.11674309521913528,727,
182,,729,0.11249882727861404
182,0.11152654886245728,731,
183,,734,0.11057557910680771
183,0.11310864239931107,735,
184,,739,0.1085800901055336
184,0.10822340101003647,739,
185,0.10725769400596619,743,
186,,744,0.10670948028564453
186,0.10641074925661087,747,
187,,749,0.10338568687438965
187,0.10366515815258026,751,
188,,754,0.11070544272661209
188,0.10283869504928589,755,
189,,759,0.1007409319281578
189,0.1012350469827652,759,
190,0.10031870007514954,763,
191,,764,0.10078855603933334
191,0.09787771105766296,767,
192,,769,0.10018642246723175
192,0.09539773315191269,771,
193,,774,0.0963701531291008
193,0.09387609362602234,775,
194,,779,0.08823779225349426
194,0.09480150043964386,779,
195,0.09131540358066559,783,
196,,784,0.08954646438360214
196,0.09062359482049942,787,
197,,789,0.09322869777679443
197,0.08944299817085266,791,
198,,794,0.08714281767606735
198,0.08743075281381607,795,
199,,799,0.09067104756832123
199,0.08644577115774155,799,
200,0.08565326035022736,803,
201,,804,0.08544793725013733
201,0.08367613703012466,807,
202,,809,0.08662935346364975
202,0.08444972336292267,811,
203,,814,0.08169570565223694
203,0.08294957131147385,815,
204,,819,0.08041087538003922
204,0.08044715225696564,819,
205,0.08029056340456009,823,
206,,824,0.08095879852771759
206,0.07838945835828781,827,
207,,829,0.07923126965761185
207,0.07560161501169205,831,
208,,834,0.07488326728343964
208,0.0752771720290184,835,
209,,839,0.06950502842664719
209,0.0730334147810936,839,
210,0.07288441807031631,843,
211,,844,0.06912106275558472
211,0.07132727652788162,847,
212,,849,0.06976000964641571
212,0.07368123531341553,851,
213,,854,0.0711011067032814
213,0.07323271781206131,855,
214,,859,0.07129707932472229
214,0.07302849739789963,859,
215,0.06960061192512512,863,
216,,864,0.06727038323879242
216,0.06821311265230179,867,
217,,869,0.06447068601846695
217,0.06492096930742264,871,
218,,874,0.06312324851751328
218,0.06571242213249207,875,
219,,879,0.05500881373882294
219,0.062120936810970306,879,
220,0.06099729239940643,883,
221,,884,0.05688473954796791
221,0.061197467148303986,887,
222,,889,0.056085824966430664
222,0.0586698055267334,891,
223,,894,0.05741503834724426
223,0.05862290412187576,895,
224,,899,0.05453793331980705
224,0.05704338476061821,899,
225,0.057299986481666565,903,
226,,904,0.05444546416401863
226,0.05692983791232109,907,
227,,909,0.05513375252485275
227,0.056720584630966187,911,
228,,914,0.0536455474793911
228,0.056151315569877625,915,
229,,919,0.05129760131239891
229,0.05467177554965019,919,
230,0.05316963791847229,923,
231,,924,0.04817431420087814
231,0.05233068764209747,927,
232,,929,0.04788350313901901
232,0.05187135562300682,931,
233,,934,0.04961874708533287
233,0.049671150743961334,935,
234,,939,0.04318273812532425
234,0.05033019557595253,939,
235,0.04976678267121315,943,
236,,944,0.04889143258333206
236,0.04793662205338478,947,
237,,949,0.044921692460775375
237,0.04749360680580139,951,
238,,954,0.04430884122848511
238,0.04620306193828583,955,
239,,959,0.03957642987370491
239,0.044919032603502274,959,
240,0.04390139877796173,963,
241,,964,0.040420349687337875
241,0.04837718978524208,967,
242,,969,0.044806428253650665
242,0.04616586118936539,971,
243,,974,0.04085737094283104
243,0.044750116765499115,975,
244,,979,0.0339122973382473
244,0.04212334007024765,979,
245,0.043125446885824203,983,
246,,984,0.037142910063266754
246,0.04119870811700821,987,
247,,989,0.03890274465084076
247,0.04111617058515549,991,
248,,994,0.034722570329904556
248,0.039532117545604706,995,
249,,999,0.030115937814116478
249,0.03991346061229706,999,
250,0.03850516304373741,1003,
251,,1004,0.03625848889350891
251,0.038718871772289276,1007,
252,,1009,0.03391290828585625
252,0.038798071444034576,1011,
253,,1014,0.03466258570551872
253,0.037560995668172836,1015,
254,,1019,0.038673680275678635
254,0.03660391643643379,1019,
255,0.03573372960090637,1023,
256,,1024,0.032019972801208496
256,0.03565732762217522,1027,
257,,1029,0.03190729767084122
257,0.0351242832839489,1031,
258,,1034,0.030660618096590042
258,0.03562047332525253,1035,
259,,1039,0.035400692373514175
259,0.04041947051882744,1039,
260,0.03591594472527504,1043,
261,,1044,0.03238477557897568
261,0.03825347125530243,1047,
262,,1049,0.039294950664043427
262,0.038141198456287384,1051,
263,,1054,0.035792455077171326
263,0.03530136123299599,1055,
264,,1059,0.032270729541778564
264,0.03424857556819916,1059,
265,0.03507235646247864,1063,
266,,1064,0.03168681263923645
266,0.0344732329249382,1067,
267,,1069,0.030003784224390984
267,0.031175389885902405,1071,
268,,1074,0.029096268117427826
268,0.03188338503241539,1075,
269,,1079,0.032515715807676315
269,0.03129902109503746,1079,
270,0.0310214776545763,1083,
271,,1084,0.028933068737387657
271,0.030876055359840393,1087,
272,,1089,0.028314320370554924
272,0.031604938209056854,1091,
273,,1094,0.031489454209804535
273,0.03410571441054344,1095,
274,,1099,0.02933824621140957
274,0.030156461521983147,1099,
275,0.030766744166612625,1103,
276,,1104,0.027441075071692467
276,0.029983824118971825,1107,
277,,1109,0.02517375349998474
277,0.03060646541416645,1111,
278,,1114,0.024795344099402428
278,0.028703581541776657,1115,
279,,1119,0.027020923793315887
279,0.028011910617351532,1119,
280,0.02791764959692955,1123,
281,,1124,0.02601163648068905
281,0.027519671246409416,1127,
282,,1129,0.025910787284374237
282,0.027071183547377586,1131,
283,,1134,0.02548927254974842
283,0.02746952511370182,1135,
284,,1139,0.025734594091773033
284,0.027873294427990913,1139,
285,0.02762739732861519,1143,
286,,1144,0.023641379550099373
286,0.027096934616565704,1147,
287,,1149,0.024112869054079056
287,0.026444436982274055,1151,
288,,1154,0.025661956518888474
288,0.025877542793750763,1155,
289,,1159,0.019425081089138985
289,0.025659382343292236,1159,
290,0.026654649525880814,1163,
291,,1164,0.02294064499437809
291,0.026170974597334862,1167,
292,,1169,0.021965453401207924
292,0.02537243440747261,1171,
293,,1174,0.021703261882066727
293,0.025429880246520042,1175,
294,,1179,0.032411981374025345
294,0.02597152255475521,1179,
295,0.0257345512509346,1183,
296,,1184,0.023443084210157394
296,0.02543952502310276,1187,
297,,1189,0.02359624207019806
297,0.025644751265645027,1191,
298,,1194,0.022634832188487053
298,0.024695346131920815,1195,
299,,1199,0.020154232159256935
299,0.025192653760313988,1199,
300,0.02470940351486206,1203,
301,,1204,0.021705303341150284
301,0.02464430406689644,1207,
302,,1209,0.021032381802797318
302,0.024772243574261665,1211,
303,,1214,0.02058640494942665
303,0.02523680217564106,1215,
304,,1219,0.02469944767653942
304,0.024711700156331062,1219,
305,0.024356506764888763,1223,
306,,1224,0.020840173587203026
306,0.024300212040543556,1227,
307,,1229,0.022172724828124046
307,0.024258485063910484,1231,
308,,1234,0.021717941388487816
308,0.023979589343070984,1235,
309,,1239,0.02345176599919796
309,0.023932434618473053,1239,
310,0.023426348343491554,1243,
311,,1244,0.01938997209072113
311,0.022940076887607574,1247,
312,,1249,0.020312679931521416
312,0.02342749759554863,1251,
313,,1254,0.01859738864004612
313,0.022997910156846046,1255,
314,,1259,0.017646165564656258
314,0.0227236058562994,1259,
315,0.02272508293390274,1263,
316,,1264,0.019482489675283432
316,0.022755054756999016,1267,
317,,1269,0.01814243383705616
317,0.022061927244067192,1271,
318,,1274,0.0190549548715353
318,0.022868849337100983,1275,
319,,1279,0.01932964101433754
319,0.022292952984571457,1279,
320,0.0219301488250494,1283,
321,,1284,0.019599316641688347
321,0.021708089858293533,1287,
322,,1289,0.0200763288885355
322,0.0212869793176651,1291,
323,,1294,0.019185828045010567
323,0.021653104573488235,1295,
324,,1299,0.014789192005991936
324,0.02157890610396862,1299,
325,0.021601930260658264,1303,
326,,1304,0.018257832154631615
326,0.021561603993177414,1307,
327,,1309,0.018641535192728043
327,0.02280675806105137,1311,
328,,1314,0.02017986588180065
328,0.022311484441161156,1315,
329,,1319,0.01921827346086502
329,0.02228781208395958,1319,
330,0.02282656915485859,1323,
331,,1324,0.022238655015826225
331,0.02345936931669712,1327,
332,,1329,0.019150275737047195
332,0.02172546461224556,1331,
333,,1334,0.019176673144102097
333,0.022689523175358772,1335,
334,,1339,0.016199449077248573
334,0.02285892888903618,1339,
335,0.02184436470270157,1343,
336,,1344,0.018068019300699234
336,0.021982744336128235,1347,
337,,1349,0.01860930025577545
337,0.021888887509703636,1351,
338,,1354,0.018522469326853752
338,0.0213773250579834,1355,
339,,1359,0.019550517201423645
339,0.0208633691072464,1359,
340,0.021264618262648582,1363,
341,,1364,0.01766964979469776
341,0.02116786688566208,1367,
342,,1369,0.015771400183439255
342,0.021082455292344093,1371,
343,,1374,0.01832401752471924
343,0.021101616322994232,1375,
344,,1379,0.019089242443442345
344,0.020794536918401718,1379,
345,0.020484209060668945,1383,
346,,1384,0.014628912322223186
346,0.02029235288500786,1387,
347,,1389,0.01588059403002262
347,0.019590234383940697,1391,
348,,1394,0.016885610297322273
348,0.01947818323969841,1395,
349,,1399,0.016834309324622154
349,0.019558768719434738,1399,
350,0.01942279376089573,1403,
351,,1404,0.014988627284765244
351,0.019343499094247818,1407,
352,,1409,0.015301961451768875
352,0.019374951720237732,1411,
353,,1414,0.0152847645804286
353,0.019181128591299057,1415,
354,,1419,0.011954604648053646
354,0.01865404285490513,1419,
355,0.01926783286035061,1423,
356,,1424,0.014592638239264488
356,0.019354043528437614,1427,
357,,1429,0.016099946573376656
357,0.020458286628127098,1431,
358,,1434,0.021918833255767822
358,0.025359565392136574,1435,
359,,1439,0.016804102808237076
359,0.021123208105564117,1439,
360,0.021834703162312508,1443,
361,,1444,0.01781425252556801
361,0.01939512975513935,1447,
362,,1449,0.01642441377043724
362,0.020045507699251175,1451,
363,,1454,0.01759576052427292
363,0.02094685286283493,1455,
364,,1459,0.018968161195516586
364,0.019266467541456223,1459,
365,0.018430495634675026,1463,
366,,1464,0.015146641060709953
366,0.018365979194641113,1467,
367,,1469,0.018038097769021988
367,0.02263461984694004,1471,
368,,1474,0.020571289584040642
368,0.019833678379654884,1475,
369,,1479,0.016539841890335083
369,0.020300215110182762,1479,
370,0.0223558209836483,1483,
371,,1484,0.019804060459136963
371,0.02290656976401806,1487,
372,,1489,0.019369907677173615
372,0.022166484966874123,1491,
373,,1494,0.019222494214773178
373,0.02035454660654068,1495,
374,,1499,0.022058140486478806
374,0.019709788262844086,1499,
375,0.019045129418373108,1503,
376,,1504,0.0186515673995018
376,0.018835049122571945,1507,
377,,1509,0.016960730776190758
377,0.01844184473156929,1511,
378,,1514,0.01751331053674221
378,0.019333351403474808,1515,
379,,1519,0.0162079855799675
379,0.019095713272690773,1519,
380,0.022880852222442627,1523,
381,,1524,0.01800413429737091
381,0.02078361064195633,1527,
382,,1529,0.016859836876392365
382,0.01950189098715782,1531,
383,,1534,0.017795616760849953
383,0.01852451078593731,1535,
384,,1539,0.01147050317376852
384,0.01997758448123932,1539,
385,0.02167009375989437,1543,
386,,1544,0.018852658569812775
386,0.020926637575030327,1547,
387,,1549,0.01764380931854248
387,0.019968349486589432,1551,
388,,1554,0.015288551338016987
388,0.018389899283647537,1555,
389,,1559,0.016544215381145477
389,0.01803998276591301,1559,
390,0.01778320223093033,1563,
391,,1564,0.013813789002597332
391,0.01743324287235737,1567,
392,,1569,0.016303064301609993
392,0.01753547415137291,1571,
393,,1574,0.016039256006479263
393,0.018856527283787727,1575,
394,,1579,0.013217978179454803
394,0.018898844718933105,1579,
395,0.01876557245850563,1583,
396,,1584,0.016330279409885406
396,0.01868516020476818,1587,
397,,1589,0.014902615919709206
397,0.018360560759902,1591,
398,,1594,0.01456720381975174
398,0.017875852063298225,1595,
399,,1599,0.012511898763477802
399,0.017651746049523354,1599,
400,0.017524780705571175,1603,
401,,1604,0.013867685571312904
401,0.017315132543444633,1607,
402,,1609,0.015211568213999271
402,0.017701443284749985,1611,
403,,1614,0.013797962106764317
403,0.017338456586003304,1615,
404,,1619,0.009690114296972752
404,0.017103813588619232,1619,
405,0.017198069021105766,1623,
406,,1624,0.013815307058393955
406,0.017418410629034042,1627,
407,,1629,0.014377548359334469
407,0.017017846927046776,1631,
408,,1634,0.013383287936449051
408,0.01691005937755108,1635,
409,,1639,0.011650413274765015
409,0.016675274819135666,1639,
