epoch,train/loss,step,valid/loss
112,0.8694161772727966,449,
112,0.8687781095504761,451,
112,,451,0.8803713917732239
113,0.86869215965271,453,
113,0.8686214089393616,455,
113,,455,0.8803711533546448
114,0.8683895468711853,457,
114,0.8726993799209595,459,
114,,459,0.8803709149360657
115,0.8679422736167908,461,
115,0.8741593360900879,463,
115,,463,0.8803707361221313
116,0.8632068037986755,465,
116,0.8591864705085754,467,
116,,467,0.8803703784942627
117,0.8712627291679382,469,
117,0.8854297399520874,471,
117,,471,0.8803701996803284
118,0.86760014295578,473,
118,0.808381974697113,475,
118,,475,0.8803699016571045
119,0.8582162261009216,477,
119,0.8657066226005554,479,
119,,479,0.8803697228431702
120,0.8639155626296997,481,
120,0.8677473068237305,483,
120,,483,0.8803694844245911
121,0.8711207509040833,485,
121,0.8320193886756897,487,
121,,487,0.8803691864013672
122,0.8633448481559753,489,
122,0.853844165802002,491,
122,,491,0.8803690075874329
123,0.8657848834991455,493,
123,0.894813597202301,495,
123,,495,0.8803688287734985
124,0.8661417365074158,497,
124,0.8417491912841797,499,
124,,499,0.8803685903549194
125,0.8707916140556335,501,
125,0.8816654682159424,503,
125,,503,0.8803683519363403
126,0.8710427284240723,505,
126,0.874972939491272,507,
126,,507,0.8803680539131165
127,0.8701385855674744,509,
127,0.863223671913147,511,
127,,511,0.8803678154945374
128,0.8663033843040466,513,
128,0.8740105628967285,515,
128,,515,0.8803674578666687
129,0.8645267486572266,517,
129,0.8550187349319458,519,
129,,519,0.8803672194480896
130,0.8571837544441223,521,
130,0.8502637147903442,523,
130,,523,0.8803669810295105
131,0.8656728863716125,525,
131,0.863770067691803,527,
131,,527,0.8803669214248657
132,0.8698865175247192,529,
132,0.8582397699356079,531,
132,,531,0.8803665637969971
133,0.8505943417549133,533,
133,0.8913666009902954,535,
133,,535,0.8803662061691284
134,0.8576520681381226,537,
134,0.8847372531890869,539,
134,,539,0.8803659081459045
135,0.8600526452064514,541,
135,0.8371482491493225,543,
135,,543,0.8803656101226807
136,0.8666146397590637,545,
136,0.8508733510971069,547,
136,,547,0.8803653717041016
137,0.8698779940605164,549,
137,0.8564468026161194,551,
137,,551,0.8803651332855225
138,0.8590948581695557,553,
138,0.8581023216247559,555,
138,,555,0.8803648948669434
